Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,5.590370655,5.715996742,5.590370655,5.60293293,2.619947433,227800
1977-01-04,5.577807903,5.577807903,5.477306843,5.477306843,2.561202765,164100
1977-01-05,5.489869595,5.60293293,5.489869595,5.50243187,2.572953939,193000
1977-01-06,5.50243187,5.527557373,5.464744091,5.464744091,2.555330038,139200
1977-01-07,5.464744091,5.50243187,5.389368534,5.389368534,2.52008462,119300
1977-01-10,5.389368534,5.401930809,5.288867474,5.326555252,2.490712643,235700
1977-01-11,5.301429749,5.301429749,5.188366413,5.188366413,2.426095247,201900
1977-01-12,5.175803661,5.175803661,5.062739849,5.125553131,2.39672327,184000
1977-01-13,5.175803661,5.200928688,5.175803661,5.175803661,2.420220375,241700
1977-01-14,5.175803661,5.251179218,5.138115883,5.238616943,2.449593306,761100
1977-01-17,5.238616943,5.26374197,5.226054192,5.251179218,2.455466747,672600
1977-01-18,5.251179218,5.276304722,5.251179218,5.26374197,2.461341381,222800
1977-01-19,5.26374197,5.351680279,5.26374197,5.351680279,2.50246048,94500
1977-01-20,5.376805782,5.439619064,5.376805782,5.376805782,2.514210463,176100
1977-01-21,5.376805782,5.414493561,5.364243031,5.389368534,2.52008462,1066600
1977-01-24,5.389368534,5.427056313,5.351680279,5.376805782,2.514210463,511400
1977-01-25,5.376805782,5.376805782,5.226054192,5.226054192,2.443717718,317400
1977-01-26,5.226054192,5.276304722,5.200928688,5.226054192,2.443717718,117400
1977-01-27,5.150678158,5.150678158,5.025052071,5.050177574,2.36147809,254700
1977-01-28,5.075302601,5.150678158,5.075302601,5.125553131,2.39672327,112400
1977-01-31,5.125553131,5.125553131,4.987364292,5.050177574,2.36147809,202900
1977-02-01,5.050177574,5.100427628,5.037614822,5.075302601,2.373225689,81500
1977-02-02,5.075302601,5.112990379,5.012489319,5.012489319,2.343855381,538200
1977-02-03,5.012489319,5.025052071,4.987364292,4.987364292,2.332106113,126300
1977-02-04,4.987364292,4.987364292,4.798924923,4.82404995,2.255739212,359100
1977-02-07,4.82404995,4.82404995,4.648173332,4.648173332,2.173498869,299400
1977-02-08,4.648173332,4.748674393,4.648173332,4.710986137,2.202870131,422800
1977-02-09,4.710986137,4.710986137,4.623047829,4.623047829,2.161750078,14900
1977-02-10,4.623047829,4.648173332,4.58536005,4.58536005,2.144126654,269600
1977-02-11,4.58536005,4.623047829,4.58536005,4.623047829,2.161750078,292500
1977-02-14,4.623047829,4.673298359,4.58536005,4.673298359,2.185246468,306400
1977-02-15,4.673298359,4.685861111,4.648173332,4.648173332,2.173498869,502400
1977-02-16,4.648173332,4.698423862,4.648173332,4.673298359,2.185246468,328300
1977-02-17,4.648173332,4.648173332,4.58536005,4.597922802,2.150002241,142200
1977-02-18,4.572797298,4.572797298,4.371795177,4.509984016,2.108881712,305400
1977-02-22,4.509984016,4.522546768,4.472296238,4.497421741,2.103006124,133300
1977-02-23,4.497421741,4.497421741,4.459733486,4.472296238,2.091259003,69600
1977-02-24,4.459733486,4.459733486,4.384357929,4.396920681,2.056012392,154200
1977-02-25,4.396920681,4.447171211,4.371795177,4.447171211,2.07951045,309400
